Card,Song,Link,Tags
Cells at Work,Op,https://www.youtube.com/watch?v=aFe3srrhLdI,OP
Grand Blue,Op,https://www.youtube.com/watch?v=BU3Uvy-YX8Q,OP
Grand Blue,Ed,https://www.youtube.com/watch?v=yXWrMtHPn6w,ED
Durarara,Op 1,https://www.youtube.com/watch?v=Zc9h0RnJYxU,OP
Durarara,Op 2,https://www.youtube.com/watch?v=_kRj1f3_4V0,OP
Durarara,Op 4,https://www.youtube.com/watch?v=5r0jdlfqeE4,OP
Blue Exorcist,Op 1,https://www.youtube.com/watch?v=s99s4VCtCP8,OP
Blue Exorcist,Op 2,https://www.youtube.com/watch?v=vSUsiPvJv2Q,OP
Blue Exorcist,Ed 1,https://www.youtube.com/watch?v=dL1ubtQFrXE,ED
Inu x Boku,Op,https://www.youtube.com/watch?v=WpJ8oP0ZWoc,OP
Bunny Girl Senpai,Op,https://www.youtube.com/watch?v=W_JPQWchLdE,OP
Bunny Girl Senpai,Ed,https://www.youtube.com/watch?v=CCADAIE2FnE,ED
Last Exile,Op,https://www.youtube.com/watch?v=q6MVLxyQAZI,OP
Wotakoi,Op,https://www.youtube.com/watch?v=XjHqfhOcK_0,OP
3-Gatsu no Lion,Op 1,https://www.youtube.com/watch?v=cKWqPXkLgzY,OP
3-Gatsu no Lion,Ed 2,https://www.youtube.com/watch?v=8kQDSgt-4xE,ED
The Promised Neverland,Op 1,https://www.youtube.com/watch?v=yB2t5y7ujlg,OP
Redline,Yellow Line,https://www.youtube.com/watch?v=doEwWzMz99A,Soundtrack
Redline,Redline Day,https://www.youtube.com/watch?v=1VG5rb96nXk,Soundtrack
Mushishi,Op 1,https://www.youtube.com/watch?v=VBBFDb0hC4Y,OP
Mushishi,Op 2,https://www.youtube.com/watch?v=1YoYbpBGaJM,OP
Violet Evergarden,Op,https://www.youtube.com/watch?v=Q1eBXy-siOQ,OP
Violet Evergarden,Back in Buisness,https://www.youtube.com/watch?v=owlDiIL1JYU,Soundtrack
Saiki K,Op 4,https://www.youtube.com/watch?v=ZoxtlCeo19s,OP
Saiki K,Judgement Knights of Thunder,https://www.youtube.com/watch?v=4-dndcRkjwc,Soundtrack
Bocchi,OP 1,https://www.youtube.com/watch?v=dlSbEP4V-gI,OP
Bocchi,Ed 1,https://www.youtube.com/watch?v=wbQEA_nxLaE,ED
Dungeon Meshi,OP 1,https://www.youtube.com/watch?v=QeWnsJjkLzU,OP
Dungeon Meshi,OP 2,https://www.youtube.com/watch?v=E-jsT52Kkhs,OP
Dungeon Meshi,Ed 1,https://www.youtube.com/watch?v=VgONMsWIb-8,ED
Jigoku Shoujo,Op 1,https://www.youtube.com/watch?v=iVBmh1EmC5M,OP
Saijaku Tamer,Hate no Nai Tabi,https://www.youtube.com/watch?v=fUoO2AinMr8,OP
Saijaku Tamer,because,https://www.youtube.com/watch?v=_a98xdzMkpg,ED
Villainess Level 99,Op,https://www.youtube.com/watch?v=0o6qbg7gRMk,OP
Jigoku Shoujo,Op 2,https://www.youtube.com/watch?v=nfiBvfxA9zk,OP
Fantasy Bishoujo Juniku Ojisan to,Akatsuki no Salaryman,https://www.youtube.com/watch?v=l1u4JqwoPJ0,OP
Barakamon,Op 1,https://www.youtube.com/watch?v=_vvL3z3pAs0,OP
Sousou no Frieren,Op1,https://www.youtube.com/watch?v=-jGBp5HBLFs,OP
Serial Experiments Lain,Op 1,https://www.youtube.com/watch?v=MM8RufZr5lw,OP
Sousou no Frieren,Op 2,https://www.youtube.com/watch?v=wfmYSuPiYEQ,OP
Sousou no Frieren,ED 1,https://www.youtube.com/watch?v=7pmd0kt3FOs,ED
Sousou no Frieren,ED 2,https://www.youtube.com/watch?v=HAOQDCF0jQE,ED
Sousou no Frieren,Zoltaak,https://www.youtube.com/watch?v=M7gm_r8hXoU,Soundtrack
Sousou no Frieren,Dragon Smasher,https://www.youtube.com/watch?v=lrBUdDDHflU,Soundtrack
Shield Hero,Op 1,https://www.youtube.com/watch?v=jZvFEtR8RH0,OP
Shield Hero,Op 2,https://www.youtube.com/watch?v=HutPrLMPWw0,OP
Paprika,Op,https://www.youtube.com/watch?v=yx9RgTiIKDE,OP
Cyperpunk: Edgerunners ,This Fffire,https://www.youtube.com/watch?v=OifiVCnFKzM,OP
Mahou Shoujo Lyrical Nanoha,Op 1,https://www.youtube.com/watch?v=J_hZLbh3yQ0,OP
Cyperpunk: Edgerunners ,I Really Want to Stay At Your House,https://www.youtube.com/watch?v=KvMY1uzSC1E,Soundtrack
Watashi no Oshi wa Akuyaku Reijou,Raise Y/Our Hands!!,https://www.youtube.com/watch?v=XO5HRnM0_oI,OP
Mahou Shoujo Lyrical Nanoha,Take a Shot,https://www.youtube.com/watch?v=5UUzdIxj9nM,Soundtrack
Watashi no Oshi wa Akuyaku Reijou,O.C. Optimum Combination,https://www.youtube.com/watch?v=GUxRXyQzUHM,ED
Love After World Domination,Koi wa Explosion,https://www.youtube.com/watch?v=yNkMTniqjsU,OP
Gekkan Shoujo Nozaki-kun,Op,https://www.youtube.com/watch?v=IOeCpYhwbfY,OP
Gekkan Shoujo Nozaki-kun,Ed,https://www.youtube.com/watch?v=jfQnUiGRQxA,ED
Mob Pyscho 100,Op 1,https://www.youtube.com/watch?v=Bw-5Lka7gPE,OP
Paripi Koumei,Chitty Chitty Bang Bang,https://www.youtube.com/watch?v=gNn9NxZH2Vo,OP
Mob Pyscho 100,OP 3,https://www.youtube.com/watch?v=umqzznKblJ0,OP
Mob Pyscho 100,Op 2,https://www.youtube.com/watch?v=epZaT8B31-g,OP
Mob Pyscho 100,Ed 2,https://www.youtube.com/watch?v=4p_OmTMlZXw,ED
Ishuzoku Reviewers,Op,https://www.youtube.com/watch?v=QLO4tg0ubXc,OP
Inuyashiki,Op 1,https://www.youtube.com/watch?v=cYciY8Y8Y8s,OP
Ishuzoku Reviewers,Ed,https://www.youtube.com/watch?v=M_BUP6DLmqw,ED
Ghost Stories,Op,https://www.youtube.com/watch?v=ZG-MPugFCDM,OP
Eromanga Sensei,Op,https://www.youtube.com/watch?v=DeGw8-KwxM4,OP
Eromanga Sensei,Ed,https://www.youtube.com/watch?v=UzFArt9M7JM,ED
Cat Planet Cuties,Op,https://www.youtube.com/watch?v=a-Kan_YfouU,OP
Devilman Crybaby,Op,https://www.youtube.com/watch?v=SM5mnH7JrJE,OP
Oshi no Ko,Op1,https://www.youtube.com/watch?v=ZYlaUrj2Zkk,OP
Oshi no Ko,OP 2,Oshi no Ko Opening 2 (4k 60FPS)┃Creditless (youtube.com),OP
Umineko,Op,https://www.youtube.com/watch?v=GTojZzKi9V8,OP
Eizouken,Op,https://www.youtube.com/watch?v=8-91y7BJ8QA,OP
Eizouken,Insert song,https://www.youtube.com/watch?v=eUwHu_xHddw&list=FLizPzIFGzNyJkfC5wOp6HNA&index=23,Soundtrack
Hunter x Hunter,Op,https://www.youtube.com/watch?v=faqmNf_fZlE,OP
Hunter x Hunter,Ed 1,https://www.youtube.com/watch?v=ELuVDnlB8PE,ED
Hunter x Hunter,Ed 3,https://www.youtube.com/watch?v=fhAKgOvIQsM,ED
